Type,Date,Time,Location,City,County,Zip,Geocode
NFS,12/21/2013,1005,9674 Marlboro Pike,Upper Marlboro,Prince George's,20772,"9674 Marlboro Pike
Upper Marlboro 20772
(38.81590618500047, -76.83900462999964)"
NFS,10/18/2013,118,4809 Parkmount La,Upper Marlboro,Prince George's,20772,"4809 Parkmount La
Upper Marlboro 20772
(38.82277403100045, -76.80997905599963)"
NFS,07/09/2013,2214,New Orchard Dr & Harry S Truman Dr,Largo,Prince George's,20774,"New Orchard Dr &amp; Harry S Truman Dr
Largo 20774
(38.885559120000494, -76.80645921499968)"
NFS,10/27/2013,22,Bold St & Edwards St,Glenarden,Prince George's,20774,"Bold St &amp; Edwards St
Glenarden 20774
(38.885559120000494, -76.80645921499968)"
NFS,10/05/2013,105,3208 Oak St,Upper Marlboro,Prince George's,20774,"3208 Oak St
Upper Marlboro 20774
(38.84543595800045, -76.85662572699965)"
NFS,05/04/2013,2331,56th Pl @ Emerson St,Riverdale,Prince George's,20781,"56th Pl @ Emerson St
Riverdale 20781
(38.946742052000445, -76.91836644899968)"
NFS,07/19/2013,1726,3611 Gallatin St,Hyattsville,Prince George's,20782,"3611 Gallatin St
Hyattsville 20782
(38.953479537000476, -76.95939568699964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS,03/17/2013,252,5398 Queens Chapel Rd.,Hyattsville,Prince George's,20782,"5398 Queens Chapel Rd.
Hyattsville 20782
(38.95550652600048, -76.96304356299964)"
NFS - self inflicted,05/30/2013,2310,Tahona Dr & Lebanon St,Hyattsville,Prince George's,20783,"Tahona Dr &amp; Lebanon St
Hyattsville 20783
(38.989117982000494, -76.97670956599967)"
NFS,06/26/2013,1333,7957 15th Ave,Hyattsville,Prince George's,20783,"7957 15th Ave
Hyattsville 20783
(38.98721555700047, -76.98108054299968)"
NFS,01/01/2013,28,1418 East West Hwy,Hyattsville,Prince George's,20783,"1418 East West Hwy
Hyattsville 20783
(38.97452724100049, -76.98418332399967)"
